City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Urucara,BR,82.04,heavy intensity rain,-2.5364,-57.76,Pousada Maria Bonita
12,Ponta Do Sol,PT,78.71,few clouds,32.6667,-17.1,Hotel do Campo
20,Kapaa,US,76.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Niesky,DE,84.02,scattered clouds,51.2924,14.8211,Ferienwohnung Niesky
24,Atuona,PF,78.44,broken clouds,-9.8,-139.0333,Villa Enata
26,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
33,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
38,Hargeysa,SO,80.78,broken clouds,9.56,44.065,City Center Hotel
42,Machico,PT,78.71,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
45,Faya,SA,78.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
53,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
62,Lorengau,PG,80.1,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
64,Hambantota,LK,81.25,broken clouds,6.1241,81.1185,Bungalow 63
68,La Salle,US,80.24,clear sky,41.3334,-89.0918,Days Inn by Wyndham Oglesby/ Starved Rock
70,Vanimo,PG,77.76,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
72,Sarangani,PH,83.7,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
78,Hirara,JP,80.58,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
84,Fare,PF,79.07,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
86,Catemaco,MX,83.05,overcast clouds,18.4167,-95.1167,Hotel Playa Cristal
92,Butaritari,KI,81.46,few clouds,3.0707,172.7902,Isles Sunset Lodge
94,Hithadhoo,MV,84.04,overcast clouds,-0.6,73.0833,Scoop Guest House
99,Catuday,PH,80.13,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
100,Hilo,US,78.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
101,Sao Filipe,CV,75.97,clear sky,14.8961,-24.4956,Hotel Xaguate
104,Bengkulu,ID,77.29,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
106,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
110,Gigmoto,PH,81.63,overcast clouds,13.7796,124.39,Cj's Travellers Inn
112,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
113,Pokaran,IN,88.95,scattered clouds,26.9167,71.9167,Motel Pokaran - RTDC
114,Lasa,IT,81.48,clear sky,46.6166,10.7002,Pension Feldgärtenhof
115,Avarua,CK,77.29,overcast clouds,-21.2078,-159.775,Paradise Inn
116,Salalah,OM,86.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
118,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
119,Denpasar,ID,78.46,heavy intensity rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
122,Miandrivazo,MG,79.47,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
126,Kavaratti,IN,80.11,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
127,Port Said,EG,75.99,clear sky,31.2565,32.2841,Aracan Hotel
132,Tonantins,BR,75.87,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
137,Sinnamary,GF,82.11,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
140,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
141,Gondanglegi,ID,75.69,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
148,Buchanan,LR,81.0,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
149,Bambanglipuro,ID,77.65,overcast clouds,-7.95,110.2833,Puri Brata
151,Tulum,MX,86.0,clear sky,20.2167,-87.4667,Kin Ha Tulum
153,Bonthe,SL,83.41,light rain,7.5264,-12.505,Bonthe Holiday Village
157,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
159,Yanam,IN,83.95,moderate rain,16.7333,82.2167,The Regency Hotel
160,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
161,Champerico,GT,88.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
162,Benton Harbor,US,81.84,clear sky,42.1167,-86.4542,The Boulevard Inn & Bistro
163,Vaitape,PF,79.3,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
167,Bairiki,KI,80.58,clear sky,1.3292,172.9752,Tarawa Boutique Hotel
171,Sola,VU,79.3,scattered clouds,-13.8833,167.55,Leumerus Bungalows
172,Isangel,VU,76.26,overcast clouds,-19.55,169.2667,Tanna Lodge
175,Cameta,BR,83.73,few clouds,-2.2444,-49.4958,Hotel San Juan
179,Laguna,US,76.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
181,Gat,IL,77.77,clear sky,31.61,34.7642,OlusHome
182,Ciudad Bolivar,VE,83.73,overcast clouds,8.1222,-63.5497,Hotel Edi
183,Kieta,PG,78.78,few clouds,-6.2167,155.6333,Uruna Bay Retreat
189,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
190,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
191,Xuddur,SO,79.57,overcast clouds,4.1213,43.8894,Banjanay Hotel
201,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
205,Weymouth,US,80.83,broken clouds,42.2209,-70.9398,Arbor Inn Motor Lodge
208,Mao,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
209,Corn Island,NI,78.49,overcast clouds,12.1694,-83.0418,Big Fish Guest House
210,Benguela,AO,78.53,few clouds,-12.5763,13.4055,Hotel Praia Morena
212,Caravelas,BR,79.61,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
216,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
219,Robertsport,LR,81.45,light rain,6.7533,-11.3686,Kwepunha Retreat
220,Meulaboh,ID,76.64,overcast clouds,4.1363,96.1285,Kost Pria
223,Bac Lieu,VN,81.82,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
224,Lincoln,US,80.87,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
226,Manokwari,ID,78.6,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
230,Buala,SB,78.87,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
236,Rialma,BR,88.47,overcast clouds,-15.315,-49.5844,Don Antonio Hotel
245,Tigzirt,DZ,79.97,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
248,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
250,Dharchula,IN,75.36,broken clouds,29.85,80.5333,Mahara Hotel
253,Dhidhdhoo,MV,82.62,moderate rain,6.8833,73.1,Dhidhoo beach
255,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
262,Kavieng,PG,81.23,light rain,-2.5744,150.7967,Nusa Island Retreat
263,Lardos,GR,77.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
265,Abha,SA,78.62,few clouds,18.2164,42.5053,Abha Hotel
269,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
270,Barmer,IN,84.92,clear sky,25.75,71.3833,Jain Dharamshala
272,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
279,Shihezi,CN,83.66,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
280,Honiara,SB,75.27,few clouds,-9.4333,159.95,Heritage Park Hotel
287,Kashi,CN,76.21,few clouds,39.4547,75.9797,帕米尔青年旅舍
288,Beyneu,KZ,86.61,clear sky,45.3167,55.2,NUR
294,Trincomalee,LK,82.99,overcast clouds,8.5711,81.2335,Welcombe Hotel
295,Qinzhou,CN,79.74,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
306,Half Moon Bay,US,78.89,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
308,Lata,PT,87.08,clear sky,40.1629,-8.3327,Casa Maquia
311,Faanui,PF,79.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
317,Dingle,PH,77.77,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
320,Loucna Nad Desnou,CZ,75.16,broken clouds,50.0743,17.0905,OREA Hotel Dlouhé Stráně
321,Auki,SB,75.31,broken clouds,-8.7676,160.7034,Auki Motel
322,Namatanai,PG,78.73,light rain,-3.6667,152.4333,Seagulls Inn Namatani
323,Semikarakorsk,RU,79.75,scattered clouds,47.5194,40.8112,"The recreation center ""Cossack Quay"""
326,Impfondo,CG,78.82,light rain,1.6381,18.0667,Auberge La Place de Jules
328,Antsohihy,MG,76.78,scattered clouds,-14.8796,47.9875,Hotel de Ville
332,Zwedru,LR,78.39,moderate rain,6.0667,-8.1281,Elijah Worjloh
335,Touros,BR,84.04,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
342,Balabac,PH,81.95,scattered clouds,7.9868,117.0645,Batalla’s Lodging House
344,Ibra,OM,87.4,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
345,Wamba,NG,88.14,light rain,8.9333,8.6,Roma Zee Guest House Annex
349,Melchor De Mencos,GT,86.0,scattered clouds,17.0686,-89.1522,Xultun Farm
350,Methala,IN,77.0,moderate rain,10.2166,76.2166,Style Homes Holiday Inn
352,Libreville,GA,79.72,light rain,0.3925,9.4537,Le Méridien Re-Ndama
355,Salinas,US,76.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
358,Tual,ID,82.65,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
360,Umm Lajj,SA,87.57,clear sky,25.0213,37.2685,Moon light Furnished Units
363,Buenaventura,CO,84.36,broken clouds,3.8801,-77.0312,Hotel Victoria
364,Nicoya,CR,75.38,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
365,Niquero,CU,85.71,overcast clouds,20.0431,-77.5828,Islazul Niquero
370,Farmington,US,89.2,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
371,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
372,Owerri,NG,84.56,light rain,5.4833,7.0304,Dream Land Hotel
375,Palu,ID,75.02,light rain,-0.8917,119.8707,Hotel Santika Palu
376,Cedar City,US,81.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
380,Bismarck,US,80.44,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
382,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
386,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
387,Althofen,AT,81.16,clear sky,46.8818,14.4676,Hotel-Restaurant Prechtlhof
388,Monsenhor Gil,BR,86.27,scattered clouds,-5.5642,-42.6078,Campelo Residence
391,Halifax,CA,80.53,broken clouds,44.6453,-63.5724,Hotel Halifax
393,Kruisfontein,ZA,76.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
395,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
396,Lipari,IT,78.33,clear sky,38.4674,14.954,Hotel Villa Augustus
397,Port Hawkesbury,CA,78.91,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
398,Sur,OM,86.72,clear sky,22.5667,59.5289,Sur Plaza Hotel
406,Plettenberg Bay,ZA,76.95,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
407,Kalmunai,LK,83.93,overcast clouds,7.4167,81.8167,VS Villa
409,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
413,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
414,Kentau,KZ,76.39,scattered clouds,43.5206,68.5094,Safary
416,Yarada,IN,79.12,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
422,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
423,Tautira,PF,77.97,broken clouds,-17.7333,-149.15,Pension Oaoa
424,Kudahuvadhoo,MV,84.16,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
438,Vila Do Maio,CV,83.19,clear sky,15.1333,-23.2167,Hotel Marilu
443,Eufaula,US,87.85,broken clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
