City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wuwei,CN,2022-06-12 16:27:53,37.9281,102.6414,61.75,16,3,4.94,clear sky
1,Busselton,AU,2022-06-12 16:27:53,-33.65,115.3333,58.66,69,100,31.79,overcast clouds
2,Punta Arenas,CL,2022-06-12 16:27:41,-53.15,-70.9167,51.91,71,40,13.8,scattered clouds
3,Norman Wells,CA,2022-06-12 16:27:54,65.282,-126.8329,42.84,93,100,14.97,light rain
4,Qaanaaq,GL,2022-06-12 16:27:54,77.484,-69.3632,30.81,69,89,3.42,overcast clouds
5,Talnakh,RU,2022-06-12 16:27:54,69.4865,88.3972,63.21,44,100,5.5,overcast clouds
6,Urucara,BR,2022-06-12 16:27:55,-2.5364,-57.76,82.04,80,52,1.41,heavy intensity rain
7,Jamestown,US,2022-06-12 16:27:03,42.097,-79.2353,69.39,57,99,1.01,overcast clouds
8,Oranjemund,NA,2022-06-12 16:27:55,-28.55,16.4333,61.38,66,100,9.51,overcast clouds
9,Esperance,AU,2022-06-12 16:27:55,-33.8667,121.9,59.22,69,80,20.38,broken clouds
10,Port Alfred,ZA,2022-06-12 16:27:56,-33.5906,26.891,74.17,31,94,3.0,overcast clouds
11,Barrow,US,2022-06-12 16:27:56,71.2906,-156.7887,26.62,93,100,0.0,overcast clouds
12,Ponta Do Sol,PT,2022-06-12 16:27:56,32.6667,-17.1,78.71,73,20,5.75,few clouds
13,Mahebourg,MU,2022-06-12 16:27:57,-20.4081,57.7,72.25,94,75,8.05,light rain
14,Lavrentiya,RU,2022-06-12 16:27:57,65.5833,-171.0,34.92,70,100,8.59,overcast clouds
15,Cape Town,ZA,2022-06-12 16:27:57,-33.9258,18.4232,68.38,71,75,27.63,broken clouds
16,Moron,AR,2022-06-12 16:27:58,-34.6534,-58.6198,63.93,44,0,2.1,clear sky
17,Bayir,TR,2022-06-12 16:27:58,37.2687,28.2167,72.12,64,75,9.4,broken clouds
18,Yellowknife,CA,2022-06-12 16:23:02,62.456,-114.3525,61.32,67,75,15.01,broken clouds
19,Rikitea,PF,2022-06-12 16:27:58,-23.1203,-134.9692,72.77,64,83,7.09,broken clouds
20,Kapaa,US,2022-06-12 16:27:59,22.0752,-159.319,76.12,85,75,18.41,broken clouds
21,Igrim,RU,2022-06-12 16:27:59,63.1906,64.4162,49.64,83,100,12.41,light rain
22,Niesky,DE,2022-06-12 16:26:21,51.2924,14.8211,84.02,37,29,10.65,scattered clouds
23,Katsuura,JP,2022-06-12 16:27:59,35.1333,140.3,65.8,88,55,2.89,broken clouds
24,Atuona,PF,2022-06-12 16:26:47,-9.8,-139.0333,78.44,62,74,16.49,broken clouds
25,Asfi,MA,2022-06-12 16:27:04,32.2994,-9.2372,71.73,82,19,11.21,few clouds
26,Acapulco,MX,2022-06-12 16:28:00,16.8634,-99.8901,85.82,62,75,6.91,broken clouds
27,Haines Junction,CA,2022-06-12 16:28:00,60.7522,-137.5108,46.35,81,100,1.14,overcast clouds
28,Albany,US,2022-06-12 16:26:24,42.6001,-73.9662,77.04,58,94,5.99,overcast clouds
29,Mataura,NZ,2022-06-12 16:28:00,-46.1927,168.8643,34.48,97,63,1.54,broken clouds
30,Nanortalik,GL,2022-06-12 16:28:01,60.1432,-45.2371,39.76,94,100,4.83,moderate rain
