City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Raymond,CA,2022-06-08 19:15:14,45.467,-73.6095,74.08,53,40,14.97
1,Vaini,TO,2022-06-08 19:15:22,-21.2,-175.2,73.56,78,20,6.91
2,Rikitea,PF,2022-06-08 19:15:22,-23.1203,-134.9692,72.72,64,96,14.09
3,Lasa,IT,2022-06-08 19:15:22,46.6166,10.7002,59.88,93,100,1.41
4,Victoria,HK,2022-06-08 19:10:40,22.2855,114.1577,80.33,92,99,4.0
5,Hobart,AU,2022-06-08 19:15:23,-42.8794,147.3294,47.05,68,100,9.22
6,Puerto Ayora,EC,2022-06-08 19:15:23,-0.7393,-90.3518,76.96,87,32,5.01
7,Albany,US,2022-06-08 19:12:01,42.6001,-73.9662,76.59,52,11,1.99
8,Barrow,US,2022-06-08 19:15:24,71.2906,-156.7887,26.62,80,100,5.75
9,Isla Mujeres,MX,2022-06-08 19:15:24,21.2311,-86.731,87.85,75,100,12.53
10,Saint Anthony,US,2022-06-08 19:15:24,45.0205,-93.218,78.42,34,75,18.41
11,Tautira,PF,2022-06-08 19:15:25,-17.7333,-149.15,79.03,77,26,12.21
12,Atuona,PF,2022-06-08 19:15:25,-9.8,-139.0333,78.42,73,13,18.61
13,Jamestown,US,2022-06-08 19:15:26,42.097,-79.2353,73.02,48,75,6.91
14,Pine Bluff,US,2022-06-08 19:15:26,34.2284,-92.0032,76.93,88,75,10.36
15,Bredasdorp,ZA,2022-06-08 19:15:27,-34.5322,20.0403,63.05,63,0,11.23
16,Adre,TD,2022-06-08 19:15:27,13.4667,22.2,89.02,20,15,6.44
17,Ushuaia,AR,2022-06-08 19:11:34,-54.8,-68.3,40.62,100,100,29.93
18,Merritt,CA,2022-06-08 19:15:28,50.1123,-120.7942,67.93,36,88,9.28
19,Road Town,VG,2022-06-08 19:15:28,18.4167,-64.6167,86.04,66,40,11.5
20,Gornopravdinsk,RU,2022-06-08 19:15:28,60.05,69.9,52.43,94,100,12.01
